2.5900,2.6011
2.7000,2.6016
2.6600,2.6019
2.5900,2.6018
2.6300,2.6020
2.6100,2.6020
2.6100,2.6020
2.6700,2.6024
2.6300,2.6025
2.6100,2.6025
2.6100,2.6026
2.5400,2.6023
2.5900,2.6022
2.6300,2.6023
2.5900,2.6023
2.6500,2.6025
2.5400,2.6022
2.6600,2.6025
2.6400,2.6026
2.6900,2.6030
2.5800,2.6029
2.6700,2.6032
2.6600,2.6035
2.5700,2.6033
2.6400,2.6035
2.6600,2.6037
2.6400,2.6039
2.6900,2.6043
2.6300,2.6044
2.6300,2.6045
2.6100,2.6045
2.5500,2.6043
2.5600,2.6041
2.6200,2.6042
2.6200,2.6042
2.6300,2.6043
2.6300,2.6044
2.6100,2.6045
2.6700,2.6047
2.5500,2.6045
2.5900,2.6045
2.5900,2.6044
2.6200,2.6045
2.6200,2.6045
2.5400,2.6043
2.5900,2.6042
2.5800,2.6041
2.5600,2.6039
2.5600,2.6038
2.5600,2.6036
2.5600,2.6034
2.5700,2.6033
2.6000,2.6033
2.6400,2.6034
2.6500,2.6036
2.6500,2.6038
2.6100,2.6038
2.6000,2.6038
2.5900,2.6037
2.6700,2.6040
2.6300,2.6041
2.6600,2.6043
2.6300,2.6044
2.6400,2.6045
2.5900,2.6045
2.5600,2.6043
2.6200,2.6044
2.6300,2.6045
2.6000,2.6044
2.6300,2.6045
2.6300,2.6046
2.5800,2.6045
2.6200,2.6046
2.6300,2.6047
2.6400,2.6048
2.5900,2.6048
2.6100,2.6048
2.5600,2.6046
2.5600,2.6045
2.6000,2.6044
2.6000,2.6044
2.5600,2.6043
2.5700,2.6041
2.6200,2.6042
2.6200,2.6043
2.6000,2.6042
2.6200,2.6043
2.6900,2.6046
2.6000,2.6046
2.6200,2.6046
2.6800,2.6049
2.5600,2.6048
2.6300,2.6048
2.5800,2.6048
2.6600,2.6049
2.5900,2.6049
2.6000,2.6049
2.6500,2.6050
2.6200,2.6051
2.6400,2.6052
2.5900,2.6052
2.5800,2.6051
2.6800,2.6053
2.6300,2.6054
2.5600,2.6053
2.6000,2.6052
2.5900,2.6052
2.5900,2.6051
2.6500,2.6053
2.5900,2.6052
2.6500,2.6054
2.6500,2.6055
2.6100,2.6055
2.5600,2.6054
2.6100,2.6054
2.6200,2.6055
2.6100,2.6055
2.6700,2.6057
2.6500,2.6058
2.5600,2.6057
2.5200,2.6054
2.6300,2.6055
2.5800,2.6054
2.6600,2.6056
2.5700,2.6055
2.6100,2.6055
2.6200,2.6055
2.6000,2.6055
2.6800,2.6057
2.5900,2.6057
2.6400,2.6058
2.5800,2.6057
2.5800,2.6056
2.6100,2.6056
2.5900,2.6056
2.5900,2.6055
2.5600,2.6054
2.5900,2.6054
2.6100,2.6054
2.6200,2.6054
2.6600,2.6056
2.6600,2.6058
2.6200,2.6058
2.5900,2.6057
2.5600,2.6056
2.6200,2.6057
2.5900,2.6056
2.6200,2.6056
2.5700,2.6055
2.6200,2.6056
2.5600,2.6054
